Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-11,10:00:00,1.80353,1.80607,1.80349,1.80524,0,0
2014-11-11,11:00:00,1.80526,1.80635,1.80463,1.80552,0,0
2014-11-11,12:00:00,1.80513,1.80683,1.80488,1.80508,0,0
2014-11-11,13:00:00,1.80508,1.8067,1.80482,1.80655,0,0
2014-11-11,14:00:00,1.80649,1.80665,1.80464,1.80472,0,0
2014-11-11,15:00:00,1.80513,1.80597,1.80397,1.80473,0,0
2014-11-11,16:00:00,1.80513,1.80522,1.80088,1.80115,0,0
2014-11-11,17:00:00,1.80075,1.80194,1.79908,1.79977,0,0
2014-11-11,18:00:00,1.79962,1.80229,1.79831,1.80214,0,0
2014-11-11,19:00:00,1.80194,1.80289,1.80035,1.80107,0,0
2014-11-11,20:00:00,1.80104,1.80483,1.80104,1.80439,0,0
2014-11-11,21:00:00,1.80448,1.80542,1.80365,1.80397,0,0
2014-11-11,22:00:00,1.80409,1.80435,1.8027,1.80279,0,0
2014-11-11,23:00:00,1.80279,1.80439,1.80279,1.80377,0,0
2014-11-11,23:59:00,1.80357,1.8055,1.80283,1.80492,0,0
2014-11-12,01:00:00,1.80492,1.80507,1.80427,1.805,0,0
2014-11-12,02:00:00,1.80491,1.80546,1.80426,1.80491,0,0
2014-11-12,03:00:00,1.80491,1.80535,1.80437,1.80524,0,0
2014-11-12,04:00:00,1.80526,1.80586,1.80492,1.80535,0,0
2014-11-12,05:00:00,1.80535,1.80535,1.80467,1.80496,0,0
2014-11-12,06:00:00,1.80494,1.80612,1.80445,1.80588,0,0
2014-11-12,07:00:00,1.80591,1.8071,1.80591,1.80676,0,0
2014-11-12,08:00:00,1.80685,1.80744,1.80559,1.80559,0,0
2014-11-12,09:00:00,1.80586,1.8059,1.80252,1.80311,0,0
2014-11-12,10:00:00,1.80312,1.80486,1.80216,1.80247,0,0
2014-11-12,11:00:00,1.80239,1.8063,1.79997,1.80488,0,0
2014-11-12,12:00:00,1.80464,1.80469,1.79624,1.79731,0,0
2014-11-12,13:00:00,1.79718,1.7979,1.79222,1.79369,0,0
2014-11-12,14:00:00,1.79353,1.79353,1.78878,1.78911,0,0
2014-11-12,15:00:00,1.78911,1.79183,1.78782,1.78832,0,0
2014-11-12,16:00:00,1.78829,1.78942,1.78658,1.78662,0,0
2014-11-12,17:00:00,1.78667,1.78927,1.7837,1.78919,0,0
2014-11-12,18:00:00,1.78896,1.79017,1.78413,1.78435,0,0
2014-11-12,19:00:00,1.78435,1.78435,1.78294,1.78394,0,0
2014-11-12,20:00:00,1.78391,1.78563,1.78335,1.78446,0,0
2014-11-12,21:00:00,1.78449,1.78523,1.78379,1.78415,0,0
2014-11-12,22:00:00,1.78402,1.78671,1.78388,1.78637,0,0
2014-11-12,23:00:00,1.78585,1.78635,1.78496,1.78563,0,0
2014-11-12,23:59:00,1.78563,1.78563,1.78382,1.78484,0,0
2014-11-13,01:00:00,1.78488,1.78532,1.78452,1.78529,0,0
2014-11-13,02:00:00,1.78529,1.78553,1.78447,1.7849,0,0
2014-11-13,03:00:00,1.78487,1.78516,1.78402,1.78416,0,0
2014-11-13,04:00:00,1.78416,1.78488,1.7834,1.78458,0,0
2014-11-13,05:00:00,1.78459,1.78539,1.78445,1.78489,0,0
2014-11-13,06:00:00,1.78487,1.78518,1.78431,1.78465,0,0
2014-11-13,07:00:00,1.78471,1.78572,1.7845,1.78558,0,0
2014-11-13,08:00:00,1.78548,1.78648,1.78548,1.78635,0,0
2014-11-13,09:00:00,1.78635,1.78639,1.78515,1.78555,0,0
2014-11-13,10:00:00,1.78572,1.78613,1.78282,1.78337,0,0
2014-11-13,11:00:00,1.78327,1.78395,1.78225,1.7828,0,0
2014-11-13,12:00:00,1.78285,1.78321,1.78176,1.78219,0,0
2014-11-13,13:00:00,1.78219,1.7831,1.78128,1.78147,0,0
2014-11-13,14:00:00,1.78146,1.78201,1.78008,1.78171,0,0
2014-11-13,15:00:00,1.78166,1.78391,1.78068,1.78231,0,0
2014-11-13,16:00:00,1.78195,1.7854,1.7803,1.78511,0,0
2014-11-13,17:00:00,1.78511,1.78654,1.78384,1.78427,0,0
2014-11-13,18:00:00,1.78427,1.7872,1.78327,1.78359,0,0
2014-11-13,19:00:00,1.78359,1.78578,1.78338,1.78547,0,0
2014-11-13,20:00:00,1.78547,1.7856,1.78367,1.78521,0,0
2014-11-13,21:00:00,1.78518,1.78727,1.78495,1.7863,0,0
2014-11-13,22:00:00,1.7863,1.78705,1.78537,1.78687,0,0
2014-11-13,23:00:00,1.78679,1.78913,1.78556,1.78556,0,0
2014-11-13,23:59:00,1.78556,1.78671,1.78483,1.78595,0,0
2014-11-14,01:00:00,1.78574,1.78749,1.7853,1.787,0,0
2014-11-14,02:00:00,1.787,1.78756,1.78512,1.78576,0,0
2014-11-14,03:00:00,1.78578,1.78594,1.78472,1.78483,0,0
2014-11-14,04:00:00,1.78475,1.78531,1.78408,1.78457,0,0
2014-11-14,05:00:00,1.78452,1.78604,1.78418,1.78479,0,0
2014-11-14,06:00:00,1.78479,1.78488,1.78317,1.78365,0,0
2014-11-14,07:00:00,1.78358,1.7842,1.78248,1.78374,0,0
2014-11-14,08:00:00,1.78386,1.78404,1.7827,1.78345,0,0
2014-11-14,09:00:00,1.7837,1.78529,1.78324,1.78384,0,0
2014-11-14,10:00:00,1.78364,1.78477,1.78208,1.78358,0,0
2014-11-14,11:00:00,1.78358,1.78507,1.78148,1.78157,0,0
2014-11-14,12:00:00,1.78152,1.78189,1.77991,1.78022,0,0
2014-11-14,13:00:00,1.78022,1.7814,1.77733,1.77843,0,0
2014-11-14,14:00:00,1.77846,1.78156,1.77836,1.78139,0,0
2014-11-14,15:00:00,1.78149,1.78224,1.77553,1.77612,0,0
2014-11-14,16:00:00,1.77609,1.77633,1.76882,1.77006,0,0
2014-11-14,17:00:00,1.77006,1.77157,1.76812,1.77122,0,0
2014-11-14,18:00:00,1.77084,1.77214,1.76723,1.76817,0,0
2014-11-14,19:00:00,1.76802,1.76976,1.76658,1.76683,0,0
2014-11-14,20:00:00,1.76788,1.77008,1.76754,1.76971,0,0
2014-11-14,21:00:00,1.76964,1.76979,1.76743,1.76902,0,0
2014-11-14,22:00:00,1.76903,1.76914,1.76645,1.76696,0,0
2014-11-14,23:00:00,1.76698,1.76699,1.76698,1.76699,0,0
2014-11-17,01:00:00,1.76891,1.76909,1.76794,1.76817,0,0
2014-11-17,02:00:00,1.76817,1.77002,1.76799,1.76953,0,0
2014-11-17,03:00:00,1.76953,1.77064,1.76875,1.77051,0,0
2014-11-17,04:00:00,1.76996,1.77316,1.76959,1.77188,0,0
2014-11-17,05:00:00,1.77186,1.77302,1.77124,1.7722,0,0
2014-11-17,06:00:00,1.77224,1.77386,1.77211,1.77374,0,0
2014-11-17,07:00:00,1.77376,1.77376,1.77197,1.7726,0,0
2014-11-17,08:00:00,1.7726,1.77297,1.77223,1.77239,0,0
2014-11-17,09:00:00,1.77245,1.77274,1.76938,1.7696,0,0
2014-11-17,10:00:00,1.76957,1.76963,1.76763,1.76916,0,0
2014-11-17,11:00:00,1.76937,1.76945,1.76667,1.76747,0,0
2014-11-17,12:00:00,1.76746,1.76887,1.76732,1.76841,0,0
2014-11-17,13:00:00,1.76841,1.77047,1.76818,1.76871,0,0
2014-11-17,14:00:00,1.76858,1.7696,1.7684,1.76856,0,0
2014-11-17,15:00:00,1.76856,1.77126,1.76775,1.77113,0,0
2014-11-17,16:00:00,1.77113,1.77225,1.7686,1.77036,0,0
2014-11-17,17:00:00,1.76994,1.77099,1.7682,1.76975,0,0
2014-11-17,18:00:00,1.77019,1.77135,1.76897,1.76897,0,0
2014-11-17,19:00:00,1.76897,1.7699,1.76743,1.76783,0,0
